Party,Handle,Tweet
Republican,RepHuizenga,RT @FinancialCmte: TOMORROW: Members of our committee will be asking questions of Acting @CFPB Director Mulvaney about the #CFPB’s Semi-Ann…
Democrat,RepDannyDavis,"RT @taxmarch: 🔴 LIVE: Tune in to our #TrumpTax Town Hall in Chicago this morning with @NancyPelosi, @janschakowsky, @RepDannyDavis, @RevJJa…"
Republican,housebudgetGOP,"RT @HouseGOP: The #TaxCutsandJobsAct has PASSED → @POTUS, it’s off to you. https://t.co/vTnOQfJPhp https://t.co/khu2FiKD33"
Republican,RepTomPrice,"As #HurricaneMatthew approaches Georgia &amp; the East Coast, please remember to make an emergency plan. Stay safe, Geo… https://t.co/Bx9JhtRAc7"
Republican,RepJimRenacci,"RT @MilitaryOfficer: Ohio Council President, Dick Calta meets with Shane Hand, Legislative Asst. for @RepJimRenacci, OH-16. #MOAAStorms htt…"
Republican,davereichert,"National Police Week’s first major event was a memorial service in 1982, where 120 survivors and supporters of law… https://t.co/TZ9db1m0Xd"
Republican,RepCurbelo,Mary McLeod Bethune is an excellent choice to represent Florida in the U.S. Capitol. @RepCurbelo looks forward to w… https://t.co/4uGXflwY0O
Republican,RepTomMarino,Wishing everyone a happy and safe holiday season! https://t.co/sd65q4gpJe
Republican,MacTXPress,RT @HASCRepublicans: LIVE @ 10 - @USPacificFleet Commander testifies before the #HASC Watch Live: https://t.co/RPg6ypZtlD w/ Chrm @MacTXPre…
Democrat,CongressmanRaja,"RT @JustinGerdes: .@CongressmanRaja and @RepRalphNorman plan to launch a Congressional Solar Caucus this spring, reports @GeorgeCahlink"
Republican,RepMarkMeadows,"Gina Haspel is a brilliant leader, a dedicated public servant, and someone uniquely qualified for the job of CIA Di… https://t.co/vh8Z4E6YTb"
Democrat,RepBetoORourke,Can’t ask for a better way to start my Wednesday – joining with @RepArrington to meet with members of the Air Force… https://t.co/B9DSXUMcAC
Republican,RepHuizenga,"RT @SpeakerRyan: The House is fighting back against harmful, Obama-era regulations that threaten American energy, small community banks, an…"
Republican,RepLoudermilk,Congratulations to the Chisolm family on your new home from Building Homes for Heroes. Your service and sacrifice f… https://t.co/cJy2vwaPJ6
Republican,RepHolding,"I sat down with Don Curtis to discuss ISIS, the economy and the unfortunate state of politics in Washington.... https://t.co/SFnHFPh3vd"
Republican,RepDavid,"RT @WaysandMeansGOP: The pillars of tax reform in 2017 are growth, simplicity, &amp; service. What we are doing to make that a reality → https:…"
Republican,USRepRodney,Scenes from Puerto Rico &amp; USVI are heartbreaking but we'll be there every step to speed recovery-Track updates here: https://t.co/cjq7f2a1hR
Democrat,RepStephMurphy,Enjoyed meeting with #Maitland Fire Chief Kimberly Neisler and other members the Florida Fire Chiefs’ Association t… https://t.co/TxibGTywqk
Republican,farenthold,#HR3071 will require each executive agency to examine its equipment acquisition practices to save taxpayer dollars. https://t.co/d3UHaGJdoT
Democrat,repdavidscott,"RT @OfficialCBC: Watch! On January 29th, CBC members – led by @RepDavidScott – spoke on the House floor about the #Janus case before #SCOTU…"
Republican,PatTiberi,"RT @SenJohnMcCain: White supremacists aren't patriots, they're traitors- Americans must unite against hatred &amp; bigotry #Charlottesville htt…"
Republican,PeterRoskam,Small-business confidence hit record high after tax-reform win. Small-business confidence is surging as optimism ri… https://t.co/99eHl2Fkea
Democrat,RepTedDeutch,"One thing that the @NRA and @realdonaldtrump have in common is that they are both under investigation. Oh, and both… https://t.co/4tkTAZkV4a"
Republican,RepTomPrice,"W/ mandatory #Medicare demos, unelected bureaucrats are experimenting w/ seniors' care. Hearing underway ⇉ https://t.co/D1xahUN55R"
Democrat,RepDonBeyer,"Trump thanks federal employees with $143.5 billion in retirement cuts

He’s been attacking the federal workforce si… https://t.co/GO9pe7nGTm"
Democrat,PeterWelch,"This new law, co-authored with Rep. David Young (R-Iowa), will improve phone service in rural America and require t… https://t.co/MGc2Bx76Ce"
Republican,RepFrenchHill,I commend today’s commissioning of the @USSLittleRock9 - the @USNavy's proudest new ship - as it carries out our na… https://t.co/7lHPg8Jjuj
Republican,RepTomGarrett,"HAPPENING NOW: @HouseForeign Markup considering bills from @RepEdRoyce, @RepChrisSmith, @JoaquinCastrotx. Watch liv… https://t.co/colwpcxwJN"
Republican,HouseJudiciary,Ensuring the scales of just stay balanced! #CitizensRights https://t.co/SB8T1E1ebb
Republican,MarkAmodeiNV2,Sen. Smith was a valued colleague and a dedicated public servant. Her unwavering devotion to #Nevada will be missed https://t.co/vGGtjYimPm
Democrat,RepBera,I’m hosting a Town Hall this Saturday to hear from Sacramento County! Learn more and RSVP here:… https://t.co/Stxu7PMa7M
Democrat,JoaquinCastrotx,Repeated meetings by North Korea’s Kim Jong Un and Chinese President Xi Jinping raise the possibility &amp; stakes of t… https://t.co/3qzn34xBXK
Democrat,JuliaBrownley,Tomorrow is #ElectionDay for #CA26! Polls are open 7am to 8pm. Find your polling location: http://t.co/DKTm9MopU8 http://t.co/S6ictbaBq2
Republican,cathymcmorris,RT @DEAHQ: #DEATakeBack collection sites open in 1 hour find a site near you! https://t.co/YLjucc34Ms https://t.co/gQG1zrsImB
Democrat,RepBonnie,Currently in a Homeland Security Committee hearing that is examinig @TSA's outreach and traveler engagement efforts… https://t.co/TnYaJEgEZB
Democrat,RepHanabusa,Congratulations to all the #HSSEF2018 winners and everyone student and school who participated. Your hard work and… https://t.co/AgP5c0LpyQ
Democrat,RepGaramendi,I am very much looking forward to hearing later this morning from French President Emmanuel Macron. France is Ameri… https://t.co/1rPKSDaXRm
Republican,RepRichHudson,"RT @HouseGOP: #TaxReform was written with working moms and dads in mind. Through the doubled Child Tax Credit, the preservation of the Adop…"
Republican,MarshaBlackburn,He has impeccable leadership skills and will represent our country well as head of the State Department.  We thank… https://t.co/BPMEjN8SRL
Democrat,RepLindaSanchez,RT @rosadelauro: Thoughts and prayers are not enough. We need to ban assault weapons—weapons of war that have no place in our society. http…
Republican,RepChrisStewart,My heart aches for our Nevada neighbors. #prayforvegas
Republican,CongMikeSimpson,Clean safe water is vital to our way of life in Idaho. https://t.co/bvzTV4UA5H
Republican,RepJoeWilson,"RT @SpeakerRyan: .@LouiseSlaughter was tough, unfailingly gracious, and unrelenting in fighting for her ideas. She was simply great. In her…"
Democrat,repdonnaedwards,Joined @RepCicilline &amp; 160+ MoCs on ltr to @realDonaldTrump calling on him to rescind appointment of Steve Bannon:… https://t.co/gUd07y4Eog
Republican,RepBradWenstrup,"This is bittersweet news for all of us as we remember Otto Warmbier with great sadness, yet great pride in his life… https://t.co/QsOi7lRDLx"
Republican,RepArrington,I had the chance to discuss Congress’s funding issues with a few of our military leaders and how the budget and app… https://t.co/tZflW5Z8ur
Republican,RepLouBarletta,"RT @JFKLibrary: Eugene Allen (behind Mrs. Kennedy), worked under eight presidents over the course of 34 years, and was the subject of the m…"
Republican,RepRickAllen,"Tune in at NOON to see @POTUS message to @March_for_Life participants. https://t.co/V4gQGAwcTp

I'm proud to see ou… https://t.co/ZnUWZZi3IR"
Democrat,JoaquinCastrotx,My full interview yesterday with @i24NEWS on @EmmanuelMacron visit to U.S. Congress and the importance of staying i… https://t.co/4TzAViKE4z
Republican,RepAndyBarr,Reminder: A government shutdown will put national security interests and military readiness at risk. House Republic… https://t.co/ua6sjtbjPn
Republican,RepMikeRogersAL,"Great to meet with Allen Blythe today in DC!  Blythe is President and CEO of Ferrovia Services,… https://t.co/Z8z5WsLw3t"
Republican,RepEdRoyce,"RT @RepBeatty: One homeless American is one too many. That's why I am teaming up with @RepMaxineWaters, @RepEdRoyce, &amp; @RepSteveStivers to…"
Republican,RepSanfordSC,Back down to Beaufort County tomorrow. I’ll be hosting Neighborhood Office Hours in Bluffton before heading to… https://t.co/9iMZOqeROY
Democrat,RepFilemonVela,RT @HispanicCaucus: An accurate #2020census is critical to our nation. The Trump Administration is threatening to undermine its integrity.…
Democrat,RepBonamici,On #WorkersMemorialDay we recognize the dangers that many workers face on the job. I teamed up with @SenJeffMerkley… https://t.co/LgMgPVtOHU
Democrat,RepEsty,Providing the CDC the tools &amp; materials they need to act on their findings as it pertains to gun violence preventio… https://t.co/x153g9tS04
Republican,RepGosar,What an honor to spend time with Navajo Code Talker Peter McDonald and listen to stories of the time he spent servi… https://t.co/R0hkubFFjT
Democrat,louiseslaughter,They should not be degraded by #POTUS in the #OvalOffice. No one should. President Trump’s racist language is just… https://t.co/4t0TzWdoA8
Democrat,RepAnnaEshoo,'Woefully inadequate:' Bay Area leaders decry Trump's 'puny' infrastructure plan https://t.co/mn2CaAIQzR via @mercnews
Republican,RepDavidValadao,RT @FWD_us: Thank you @RepDavidValadao for your leadership and for fighting to #protectDreamers! #DreamActNow https://t.co/veG2f30NMC
Democrat,RepGutierrez,Court orders and reports of delays &amp; backlogs spur bipartisan inquiry: Reps Coffman &amp; Gutiérrez Request Data On… https://t.co/N0fAX4HeUP
Republican,RepKevinYoder,"Excited to officially introduce H.R.5613, the Quindaro Townsite National Historic Landmark Act, in the House of Rep… https://t.co/eVpxa6FVIc"
Democrat,RepRonKind,"We need to protect the Work Opportunity Tax Credit, &amp; commit to helping our veterans find a good job after they ret… https://t.co/wUAigxUgeU"
Democrat,RepJackyRosen,"I’m proud that my Veterans Deserve Better Act earned @ASCAssociation’s endorsement! After all they sacrificed, many… https://t.co/gVbNbx42qV"
Democrat,RepLawrence,I stand with @OversightDems in demanding answers. Why would the Administration delete web pages about breast cancer… https://t.co/2HLC2VtDUp
Republican,RepMimiWalters,"RT @SpeakerRyan: Millions of Americans live in these distressed communities, and they’re being left on the sidelines simply because of thei…"
Democrat,RepSpeier,If anyone has any doubt that @POTUS will lie about anything – including his own father – look no further. https://t.co/T6KVmbnYrg
Democrat,RepCarbajal,Congratulations to Beth Farnsworth Ward for winning the 2018 Congressional Woman of the Year Award! As a reporter f… https://t.co/rlnyy1jrNV
Republican,RepMikeTurner,Congratulations to @WrightPattAFB on the groundbreaking of its new security gate today. https://t.co/Mo41FUgs7W
Democrat,NancyPelosi,We must stand strong against @realDonaldTrump’s efforts to undermine the #2020Census. https://t.co/V4otGLbxTi
Republican,RepHuizenga,Had an insightful and productive hour long conversation  this morning w 2nd Dist high school students Stella and El… https://t.co/SB5eZQR1cq
Democrat,RepJayapal,RT @Shugruberg: Love that South Asian women are leading the fight against mass incarceration and abuse in immigration detention! Thank you…
Democrat,RepBarbaraLee,The use of chemical weapons on innocent civilians is a war crime. We need an international response to bring the pe… https://t.co/OD2QQqIDwL
Republican,FinancialCmte,Time change: tomorrow’s subcommittee hearing will begin at 9:30am ET https://t.co/JroFuXHlft
Republican,RepTomGraves,RT @jmillerWFED: . @OMBPress package to get rid of $15B in unobligated funds introduced by @RepTomGraves ... 45 day freeze begins. https://…
Democrat,RepWilson,.@NancyPelosi: I stand with @RepWilson in the fight to #BringBackOurGirls! https://t.co/P06uSzDUBD
Democrat,LacyClayMO1,"RT @AFLCIO: Many of the obstacles to organizing the South would still remain — segregation, racism, militarized police, fears of socialism…"
Democrat,RepJohnDelaney,"RT @ToyotaPolicy: Thank you @RepJohnDelaney for discussing AI with our tech team from @Toyota, @ToyotaConnected, @ToyotaResearch &amp; @Toyota_…"
Republican,RepKristiNoem,"Great meetings and visits yesterday in Sioux Falls with Christ the King 3rd and 5th graders,… https://t.co/yCZV8P9fSN"
Republican,RobWittman,"Reauthorizing these programs ensures wildlife refuge visitors can enjoy
✅fishing… https://t.co/kKjNI1BCaW"
Republican,RepMcCaul,It is critical that Congress investigate why protocols at the FBI were not followed and why they failed to share in… https://t.co/RLn78Y3fiO
Republican,RepDavidYoung,Saturday I spoke with folks in Guthrie Center at a legislative coffee about the issues before Congress and answered… https://t.co/RcQKPKrTig
Democrat,RepSusanDavis,Our country was founded on the idea of no taxation without representation. Hundreds of thousands of Americans livin… https://t.co/GoRx6faYFO
Democrat,RepSpeier,#Hannity needs to be put on leave immediately. How can a network claim to be “fair and balanced” when their top anc… https://t.co/MWo4AefMql
Democrat,RepCartwright,"RT @PennFuture: .@RepCartwright speaking to connection between waterways, wildlife, &amp; climate change, need for #CleanPowerPlan http://t.co/…"
Republican,RepChrisCollins,On #NationalAgDay we recognize and celebrate American agriculture. I’m proud to represent one of the nation’s leadi… https://t.co/kKQy5CMme5
Democrat,RepHuffman,ICMYI: check out my latest #offthecuff podcast with @KQED's award-winning radio host Michael Krasny. You’ll hear us… https://t.co/iWpGtMtwAP
Democrat,FrankPallone,Listen to the poem Sahmi submitted for my office’s poetry showcase. Truly a powerful statement on immigration &amp;… https://t.co/3NkqO1Q7Gf
Republican,RepByrne,Stopped by #Fairhope Intermediate School this morning to speak with student representatives about leadership and th… https://t.co/Mzd1oG9aCK
Republican,RepAdrianSmith,RT @scbpubschools: Congressman Adrian Smith toured the #NewSHS today.  Thank you for taking the time to see our school and meet with our st…
Republican,RepJeffDuncan,"RT @HouseCommerce: LIVE NOW: #SubEnergy and #SubEnvironment convene hearing on ""Fiscal Year 2019 Nuclear Regulatory Commission Budget"" &gt;&gt; h…"
Republican,RepMikeTurner,I'm at #HASC asking Mattis about @DeptofDefense budget request. Watch live: https://t.co/UmIv4m1xjF https://t.co/cUUK73LLOi
Democrat,RepMaxineWaters,RT @amjoyshow: .@REPMAXINEWATERS on why she wants to “encourage impeachment” of #DonaldTrump among her colleagues in Congress #AMJoy https:…
Republican,RepAndyBarr,"RT @RepHalRogers: My Ky House colleagues @RepAndyBarr, @RepGuthrie, @KYComer &amp; I urge Senate Democrats to put our military &amp; children's hea…"
Democrat,RepCheri,"RT @jbendery: “I wish Speaker Ryan well,"" says Dem. Rep. Cheri Bustos, ""but I really wish I could offer congratulations to him on a job wel…"
Republican,RepTomEmmer,"Beyond proud to see Minnesota’s athletes shine for @TeamUSA in @pyeongchang2018. Although, we may have an advantage… https://t.co/6Uf3Q9zr2S"
Republican,RepGallagher,I want to express my sincere thanks to @Jerrybadershow for his years of service to conservative ideas on the Northe… https://t.co/vMIhWqZhy9
Republican,RepBuddyCarter,#SmallBusinessWeek is a great opportunity to recognize the 29 million small businesses in the U.S. This week I will… https://t.co/ZAvYB52SJZ
Democrat,cbrangel,RT @RepKClark: A 46 day recess is 46 more days that the @HouseGOP isn’t passing legislation to end #gunviolence. Why won’t you #DoYourJob?
Democrat,RepMikeQuigley,"RT @wttw: ICYMI: Rep. Mike Quigley on Election Security, Russian Interference https://t.co/Heu6IFdogl #ChicagoTonight https://t.co/yGETg9d2…"
Democrat,RepCohen,"RT @RepCohen: Honored to stand w/ Bill Lucy, Coleman Thompson &amp;former #Memphis City Councilman Michael Hooks Sr. at dedication of the I AM…"
Republican,Raul_Labrador,@Kluskee @craighdurham Funny - I didn’t call for a partisan solution. I called for a solution that requires 50 vote… https://t.co/IoccPhfJNH
Democrat,repjoecrowley,"RT @ReproRights: Delegation goals! 💪

Thank you for being a champion of women’s health, @repjoecrowley! #ActForWomen https://t.co/0Vfte3uIvU"
Democrat,RepRonKind,Day 3 of the #GOPTaxBill Markup.  I'm ready to continue to fight for hardworking Wisconsinites. We deserve a bill t… https://t.co/KgjaJUg6fF
Democrat,RepOHalleran,"Today, the House Ag Committee begins the markup process of the Farm Bill. I am concerned that this bill will not su… https://t.co/1uHrqASyN0"
Republican,RepCharlieDent,Praying for the swift &amp; full recovery of the @PAStatePolice Corporal wounded &amp; thankful 4 the men &amp; women of the PSP https://t.co/HO1BOF0swl
Republican,RepTomEmmer,Received an update today from @KellyannePolls who is leading the charge at the WH to combat America's addiction cri… https://t.co/nceppsHr6N
Republican,GOPpolicy,"""By next year, #Millennials will count for approximately 80 % of our people"" @TerriMcClements @PwC_LLP #GOPFuture"
Republican,GOPpolicy,.@schoolforward talks about how Education Savings Accounts put parents in control of education decisions for their kids #SchoolChoice
Republican,RepTomMacArthur,"Yesterday, I spoke directly to @SecretaryZinke about the Dept. of Interior's Draft Proposed Plan. I have been, and… https://t.co/oWCKcvrzSm"
Republican,housebudgetGOP,"STAY TUNED: Catch the next installment in our oversight hearings with @USCBO, Tomorrow at 10:00 am. Watch LIVE here… https://t.co/ozOVeqlre6"
Republican,RepFredUpton,"RT @SWMich: Dr. Mathews got to show @RepFredUpton the progress on the nursing building today. 
Learn more about the project at https://t.co…"
Democrat,BennieGThompson,"RT @OfficialCBC: HBD, Rep. @BennieGThompson (D-MS-02)! Rep. Thompson is the ranking member of @HomelandDems. The @TougalooCollege and @Jack…"
Democrat,CongressmanRaja,Here's my response to President Trump's tweets attacking the legal system and the Department of Justice's investiga… https://t.co/uFjoiiFnzY
Democrat,RepLoisCapps,Proud to join my colleagues. https://t.co/NcYf1GBTDa
Democrat,RepHuffman,"On this week’s episode of #OfftheCuff, I spoke with my #SOTU guest &amp; Veteran from Fort Bragg, Lynda Bengtsson-Davis… https://t.co/plcVxZkXko"
Republican,RepAndyHarrisMD,The #ConcealedCarryReciprocityAct is common sense legislation. The Second Amendment helps keep Americans safe. It’s… https://t.co/K3tWfY3us5
Democrat,BillPascrell,Thanks @RepMaloney for your leadership. We will work to take guns out of the hands of those who should not have the… https://t.co/koT0FVDqXp
Democrat,Clyburn,"Tourism is our state’s No. 1 industry, and we cannot afford to risk destroying our beaches and coastal environments.  2/3"
Democrat,RepRichardNeal,Hard-working Americans who planned their whole lives for a financially secure #retirement should not have those ass… https://t.co/sZZTc1qEll
Republican,HouseCommerce,"H.R. 5327, Comprehensive Opioid Recovery Centers Act, as amended, has passed the #FullCmte by voice vote"
Republican,RepTrey,RT @DrSteveGriffin1: @ProsserCareers welcomed Congressman Trey Hollingsworth on Friday! Mr. Hollingsworth was very impressed with what we p…
Democrat,LloydDoggettTX,"""Trickle-down"" economics didn't work before and won't work again.  The Republican tax plan promises to help the mid… https://t.co/LE3kG3lvoG"
Republican,RepChuck,"Today, @WaysandMeansGOP released the Tax Cuts and Jobs Act. Click to learn more about what #TaxReform means for you: https://t.co/X6ixY03CEk"
Democrat,RepTedDeutch,"Honored to meet Joe Samaha &amp; Paul Friedman of @VTVFOFoundation. 

Joe lost his daughter at Virginia Tech 11 years a… https://t.co/zrSPnAUDH3"
Democrat,BettyMcCollum04,@USGAO @EPAScottPruitt @realDonaldTrump Read my full statement with @SenatorTomUdall on the @USGAO's findings and t… https://t.co/o5DItnrY3F
Republican,RepDianeBlack,"Please join me in praying for the safety of the students, teachers and brave first responders as we continue to lea… https://t.co/gniJIyZEL3"
Democrat,RepJoeCourtney,"This week is #NationalVolunteerWeek2018, which serves as an excellent opportunity to recognize the importance of se… https://t.co/TkHYk0lrok"
Democrat,RepRichmond,It's a shame that the #GOPTaxPlan eliminates the medical expense deduction. This allows deductions for preventive c… https://t.co/Ic0hJCSULG
Republican,RepPeteKing,"Terrific meeting today with old friend Luis Fortuno, former Congressman and former Governor of Puerto Rico. Discuss… https://t.co/2J1MZ3VZtN"
Republican,JeffFortenberry,High school students interested in participating in this year’s Congressional Art Competition are encouraged to sub… https://t.co/uR11QycRyK
Republican,TXRandy14,President cites successes of auto manufacturers back in the USA. D’s can’t even applaud that... sad...#BumpsOnLogs
Republican,RepChrisCollins,"Great to have Dana Coale, @USDA Deputy Administrator for the Dairy Program join us for the discussion. Our area is… https://t.co/3p73FeLPVP"
Republican,RepTrey,Mitch – thanks for sharing your story with me. The work you’re doing to represent Special Olympic athletes everywhe… https://t.co/h2buVmj9o2
Democrat,RepStephMurphy,"Congrats to @UCF_Football cornerback @_Bigmikee1, wide receiver @TreQuanSmithUCF, and tight end Jordan Akins for be… https://t.co/D5bYrn4VWM"
Republican,RepPaulCook,All national parks will waive entrance fees on April 22-23 for National Park Week! More info:… https://t.co/JkelHdhpqu
Republican,housebudgetGOP,This morning’s hearing marked the completion of our @USCBO oversight series and the first comprehensive review of t… https://t.co/Svfx32yiJT
Republican,NatResources,RT @dberrygannett: The House is scheduled to vote today on a bill proposed by @BennieGThompson that would make the home of Medgar Evers a n…
Democrat,RepDonaldPayne,"You should read this article. It’s on the long side, but I promise you, if you are committed to the fight to… https://t.co/fTFqAoQmcK"
Republican,RobWittman,Absolutely heartbreaking. Thinking about these aviators and their families today. #HonorTheFallen https://t.co/2jkyNmCq4f
Democrat,LorettaSanchez,TY @repjohnlewis &amp; @HouseDemocrats for your courageous &amp; principled sit-in to demand commonsense action on #gunviolence. #NoBillNoBreak.
Republican,Rep_Hunter,RT @IFDA: Congress needs to act on a plan to keep the #foodservice distribution industry trucking — safely @RepTrey @Rep_Hunter https://t.c…
Republican,boblatta,My statement on the announcement by @SpeakerRyan that he will not run for re-election. https://t.co/SLctM2iTvq
Republican,RepPeteKing,My thoughts and prayers are with my friend @SenJohnMcCain as he fights cancer -- the latest battle for a true warrior.
Democrat,RepGaramendi,"The constitution transcends partisanship. When President Obama was contemplating military action against Syria, I h… https://t.co/JZ9PEKCA4p"
Republican,RepTomMacArthur,"Anytime I visit Rowan College at Burlington County (RCBC), I am inspired by the students and staff. I am proud to s… https://t.co/tOxKvDWXxV"
Republican,RepMikeBishop,Proud of my alma mater @umichbball! Good luck in tonight's National Championship! #goblue https://t.co/QJuxquBaKc
Republican,RepLouBarletta,"Incredible. A job well done, Mr. President, Secretary Pompeo https://t.co/m9cv5ZEeXl"
Democrat,RepKarenBass,"""We cannot seek achievement for ourselves and forget about progress and prosperity for our community."" 

I'll alway… https://t.co/2FjqgtLRjK"
Republican,AustinScottGA08,"Thank you for having me, @secondharvest, and thank you for the work you do feeding children and seniors in our comm… https://t.co/hxtuILXiPq"
Republican,RepAnnWagner,It is time for Senate Dems to stop playing political games with our national security &amp; support the nomination of G… https://t.co/pwhIqPiRHV
Democrat,repdinatitus,Visit #TeamTitus at the S.A.L.T. Council #SeniorSafetyFair at @samstownlv today till 12pm! #ConstantContact #NV01 https://t.co/KKTl9UYFx9
Democrat,RepCohen,"Keep up with #Memphis's @loquaciouslions as they roar their approvals, dissents and general feline-feelings on the… https://t.co/7rhlI6OkAB"
Republican,RepDLamborn,My colleagues and I called on the Navy in a letter to reconsider appointing a secular-humanist chaplain. Doing so w… https://t.co/8V7a6Ifa0V
Democrat,RepJoshG,"Roundtables like these with law enforcement, first responders, and veterans are a key step in clawing back a better… https://t.co/wplT7oZdXb"
Republican,RepFredUpton,. @HouseCommerce is deeply concerned about allegations of potentially widespread abuse by third parties of Facebook… https://t.co/uvaRBmetU7
Democrat,repjoecrowley,"RT @DrSAksel: After meeting w/ his staff during @ACOGAction #2018CLC, just got word that @repjoecrowley is signing on as a cosponsor to #HR…"
Democrat,Clyburn,Rep. Alonzo J. Ransier served the 2nd district of #SC from 1873 to 1874. #BlackHistoryMonth #TBT (6/9) https://t.co/LAByaQpUMm
Republican,Transport,"#OnThisDay in 1908, crowds gather to drive the golden spike at Sheridan's Pt., connecting Vancouver &amp; Pasco, WA… https://t.co/EfI5GWkkv5"
Democrat,BillPascrell,Honored to receive a 100% voting record with @NETWORKLobby. My Jesuit education taught me the importance of support… https://t.co/XH7bArv4Nd
Republican,KenCalvert,Great job Aisha! Congratulations on your historic three-peat! https://t.co/UWZp95Ptyd
Republican,CongressmanGT,On a Floor to celebrate #PublicSchoolsWeek.  Strengthening America’s public #schools ensures children’s future succ… https://t.co/i9n3DZJVIO
Republican,SamsPressShop,Why is figuring out their Social Security coverage &amp; payroll tax compliance so complicated?
Democrat,JuliaBrownley26,That is why I have joined many of my colleagues in signing a ‘discharge petition’ to allow the House to proceed eve… https://t.co/atHKCLHIT3
Democrat,RepCohen,"#Trump's attacks on #DOJ, #FBI, #Mueller, #Rosenstein&amp;other public servants are the real attacks against America--n… https://t.co/K3uW8dXx3p"
Republican,RepKevinYoder,Attended @jocogov Chair Eilert’s State of the County today and visited with local leaders @andyhuckaba of Lenexa Ci… https://t.co/dOktijB8IZ
Republican,RepByrne,Glad to see the @WhiteHouse turn blue in honor of our nation’s police officers. #PoliceWeek https://t.co/ELX2z2F2MV
Republican,HurdOnTheHill,It was great meeting with Kurdistan Regional Government (KRG) Chief of Staff to the President Fuad Hussein and Mini… https://t.co/i4kvl7ZZie
Republican,TGowdySC,"RT @FoxNews: TOMORROW on @FoxNewsSunday, Chris Wallace speaks exclusively to @TGowdySC - Tune in at 2p &amp; 10p ET on Fox News Channel! https:…"
